Compound ID,MW,Stock (mM),Available (µL),Freeze-Thaw,Status,Solvent,LogP,Storage Temp,Container Type,Purity %,Expiry,Location
CMPD-1001,490.9,10,437,2,Warning,Methanol,6.5,4C,Vial,95.1,7/2/2028,Refrigerator_C
CMPD-1002,425.52,10,160,1,Available,DMSO,3.4,-20C,Tube,98.5,5/1/2028,Freezer_A_Box01_A01
CMPD-1003,425.52,10,95,0,Available,DMSO,3.4,-20C,Tube,98.5,5/1/2028,Freezer_A_Box01_A02
CMPD-1004,425.52,20,220,2,Available,DMSO,3.4,-20C,Plate,98.3,8/15/2028,PlateStore_A_Row01
CMPD-1005,512.61,30,210,3,Available,DMSO,4.7,-20C,Tube,99.1,10/12/2027,Freezer_B_Box03_B05
CMPD-1006,512.61,30,185,1,Available,DMSO,4.7,-20C,Tube,99,10/12/2027,Freezer_B_Box03_B06
CMPD-1007,512.61,50,300,0,Available,DMSO,4.7,-20C,Plate,98.9,1/20/2029,PlateStore_B_Row04
CMPD-1008,318.4,5,140,2,Available,Methanol,2.2,4C,Vial,97.8,12/20/2027,Refrigerator_A_Rack02
CMPD-1009,318.4,5,80,1,Available,Methanol,2.2,4C,Vial,97.8,12/20/2027,Refrigerator_A_Rack03
CMPD-1010,318.4,10,155,0,Available,Methanol,2.2,4C,Tube,98,4/11/2028,Refrigerator_B_Rack01
CMPD-1001,689.73,20,300,1,Available,Ethanol,5.8,-20C,Tube,99.4,1/5/2029,Freezer_C_Box07_C01
CMPD-1002,689.73,20,180,2,Available,Ethanol,5.8,-20C,Tube,99.4,1/5/2029,Freezer_C_Box07_C02
CMPD-1003,689.73,50,260,0,Available,Ethanol,5.8,-20C,Plate,99.2,3/15/2029,PlateStore_B_Row09
CMPD-1004,401.44,10,220,2,Available,Acetonitrile,3.1,4C,Vial,98.9,8/15/2028,Refrigerator_C_Rack04
CMPD-1005,602.3,50,174,1,Available,Buffer,1,4C,Vial,96.2,6/13/2028,Refrigerator_C
CMPD-1006,627.1,20,277,6,Warning,Water,1.1,4C,Vial,97.2,10/14/2026,Refrigerator_C
CMPD-1007,261.3,50,91,6,Warning,PBS,1.2,4C,Vial,98.8,7/28/2026,Refrigerator_A
CMPD-1008,398.9,50,274,6,Warning,PBS,2.8,4C,Vial,96,10/4/2027,Refrigerator_C
CMPD-1009,414.9,50,449,3,Warning,PBS,4.6,4C,Vial,94.1,8/3/2028,Refrigerator_C
CMPD-1010,294,100,363,3,Available,DMSO,5,4C,Vial,97.3,7/14/2028,Refrigerator_C
CMPD-1011,335.1,20,225,0,Available,Acetonitrile,6.1,-20C,Tube,96.1,1/1/2027,Freezer_B
CMPD-2001,304.4,50,396,2,Warning,Methanol,5.3,-20C,Tube,94.9,6/12/2027,Freezer_B
CMPD-2002,693.9,100,272,8,Warning,DMSO,6.5,-20C,Plate,95.7,5/10/2027,Freezer_B
CMPD-2003,275.1,10,480,6,Expired,Water,5,4C,Vial,96.8,5/17/2026,Refrigerator_B
CMPD-2004,593.3,20,62,7,Warning,PBS,2.8,4C,Vial,97.1,7/5/2027,Refrigerator_A
CMPD-2005,656.6,20,201,5,Expired,Water,6.3,4C,Vial,96.3,5/16/2026,Refrigerator_C
CMPD-2006,575.5,50,390,7,Warning,Ethanol,4.2,4C,Vial,94.2,3/6/2028,Refrigerator_B
CMPD-2007,295,100,464,1,Available,Acetonitrile,4.6,4C,Vial,97,4/27/2028,Refrigerator_A
CMPD-2008,476.4,10,394,3,Available,Ethanol,4.1,4C,Vial,99.9,3/8/2027,Refrigerator_A
CMPD-2009,550.6,10,275,7,Warning,Water,2.4,4C,Vial,95.4,5/28/2027,Refrigerator_B
CMPD-2010,651.9,50,404,3,Available,Buffer,1.3,4C,Vial,99.9,1/8/2027,Refrigerator_B
CMPD-2011,444.5,20,203,0,Warning,Acetonitrile,3.8,-20C,Vial,94.1,1/9/2028,Freezer_C
CMPD-2012,259.6,20,305,0,Warning,Acetonitrile,3.3,-20C,Vial,95,8/10/2026,Freezer_C
CMPD-2013,271.7,10,44,2,Low Volume,Buffer,2.3,4C,Vial,96.5,10/28/2026,Refrigerator_A
CMPD-2014,673.5,100,148,1,Expired,Water,1.2,4C,Vial,96.1,4/29/2026,Refrigerator_B
CMPD-2015,602.3,50,174,1,Available,Buffer,1,4C,Vial,96.2,6/13/2028,Refrigerator_C
CMPD-2016,627.1,20,277,6,Warning,Water,1.1,4C,Vial,97.2,10/14/2026,Refrigerator_C
CMPD-2017,261.3,50,91,6,Warning,PBS,1.2,4C,Vial,98.8,7/28/2026,Refrigerator_A
CMPD-2018,398.9,50,274,6,Warning,PBS,2.8,4C,Vial,96,10/4/2027,Refrigerator_C
